frame_idx,track_id,speed_kmh,center_x,center_y
0,1,0.0,1349,915
0,2,0.0,1655,894
0,3,0.0,468,1002
0,4,0.0,329,915
0,5,0.0,681,762
0,6,0.0,1416,760
0,7,0.0,780,932
0,8,0.0,1159,976
0,9,0.0,632,695
0,10,0.0,840,708
0,11,0.0,498,910
0,12,0.0,1272,831
0,13,0.0,1100,841
0,14,0.0,184,488
0,15,0.0,718,641
0,16,0.0,1318,729
0,17,0.0,95,493
1,4,23.219302315099824,322,919
1,2,14.68517619914722,1650,893
1,1,6.439875775199396,1348,913
1,5,12.21880517890354,678,765
1,8,17.280000000000005,1159,970
1,10,8.640000000000002,840,711
1,11,44.055528597441665,495,925
1,9,8.145870119269029,630,697
1,7,29.37035239829444,778,942
1,6,0.0,1416,759
1,13,17.518356087258876,1101,835
1,12,17.518356087258876,1271,825
1,3,12.21880517890354,465,1005
1,17,6.439875775199396,93,492
1,16,0.0,1318,729
1,14,9.107359661284935,181,489
2,4,225.90036399631083,263,963
2,9,52.820274965589945,616,706
2,2,50.347056412833496,1638,885
2,5,68.42530900185983,663,780
2,11,130.2731938918279,465,945
2,3,138.7110623734073,424,1025
2,1,50.746928781886794,1337,901
2,6,34.799172403952376,1405,754
2,10,36.335963020008876,834,720
2,12,35.28571042143809,1266,818
2,8,86.40218178687795,1148,946
2,7,166.29828886907302,759,990
2,13,42.7103925283523,1096,825
2,17,6.439875775199396,92,492
2,16,19.31962732559819,1312,726
2,14,9.107359661284935,182,488
3,11,196.90935835288536,427,961
3,1,72.97084768260427,1330,888
3,5,108.28946237350553,646,796
3,4,379.2705874534296,194,1012
3,12,43.66494531947402,1261,812
3,2,86.12771882386919,1622,874
3,10,74.90615388601236,830,738
3,6,39.32050124617803,1400,750
3,20,0.0,1216,1037
3,9,85.2632616640402,601,717
3,8,110.15686445831855,1141,927
3,13,62.05567416215112,1092,813
3,19,0.0,1641,498
3,14,9.107359661284935,181,489
3,7,222.00096152323997,735,1025
3,17,6.439875775199396,92,492
4,9,104.72905368311035,586,728
4,5,138.39955841983942,629,815
4,2,107.5961162704906,1606,863
4,1,86.59678660183987,1319,878
4,8,128.39804471500887,1129,909
4,12,40.598967191684416,1258,808
4,11,243.31798256943142,387,978
4,10,82.38369233160742,825,750
4,20,41.235324662235904,1213,1023
4,13,61.84013528380516,1089,805
4,6,50.76216640802984,1392,745
4,14,9.107359661284935,181,488
5,2,101.99766976229435,1594,858
5,5,160.53260956304823,611,835
5,1,89.50867781507118,1312,867
5,9,130.00999803848407,566,740
5,8,134.99770880579987,1120,891
5,10,106.15963633731002,817,768
5,26,0.0,1768,1036
5,12,43.679007640608845,1255,802
5,23,0.0,733,719
5,25,0.0,1496,1037
5,6,42.67610502372145,1389,742
5,13,70.81361691315561,1085,794
5,14,9.107359661284935,181,488
6,2,91.8134217980524,1586,851
6,1,83.35662149508526,1307,858
6,5,187.98322920378473,589,858
6,9,149.31144882517654,548,757
6,8,127.52644921712204,1114,876
6,25,77.54637322273688,1471,1027
6,26,70.13258301246292,1745,1028
6,23,53.10457607400704,721,733
6,12,38.08194878614417,1254,798
6,10,102.11977430706986,814,781
6,6,40.005663014232866,1386,738
6,14,9.107359661284935,181,488
6,13,95.04323840966998,1082,776
6,17,0.0,93,492
7,1,82.85102513990633,1298,851
7,5,216.6697449922503,564,884
7,2,106.36499526535422,1572,840
7,26,99.46314328157104,1726,1022
7,9,160.7176221380219,527,770
7,8,128.67488792594474,1112,858
7,10,130.92977152954137,802,802
7,23,84.81090141965291,708,746
7,6,46.49691687515089,1380,733
7,12,35.72892082208529,1250,796
7,13,62.785943045801986,1080,776
7,17,0.0,92,492
7,19,0.0,1654,496
7,14,9.107359661284935,180,489
8,9,182.83057328281313,503,788
8,2,99.90529372730055,1561,834
8,1,72.92991739904362,1294,844
8,26,117.9934413551344,1707,1015
8,10,138.6940284090496,796,822
8,5,238.41386108972995,540,913
8,23,109.97920029439935,693,760
8,6,42.29815012509053,1376,730
8,8,109.40431163156381,1107,848
8,19,46.43860463019965,1638,498
8,14,9.107359661284935,179,488
8,17,0.0,92,492
9,2,100.87566699860979,1550,825
9,23,131.15448113079185,677,776
9,5,267.42297645236766,511,945
9,1,70.92781609974918,1289,836
9,9,200.7719405825372,477,806
9,10,172.12402751832462,783,850
9,26,130.09889442516575,1689,1005
9,30,0.0,835,750
9,29,0.0,639,697
9,6,41.670630313592376,1372,726
9,12,0.0,1241,784
9,8,109.50944006871441,1101,834
9,13,0.0,1073,760
9,19,36.503162778119794,1641,498
9,17,0.0,92,492
9,14,9.107359661284935,179,488
